name,acronym,created_at,updated_at,invalid,dataset,reviewed,id,biography,canonical
Vertex Pharmaceuticals Inc.,MA,2015-01-16T18:42:21.299091,2015-02-13T07:28:29.472446,False,tx-lobbying-interests,True,39376,"50 Northern Avenue Boston, MA 02210",Vertex Pharmaceuticals
Via Metropolitan Transit,,2014-04-28T07:08:44.242615,2015-02-13T07:28:07.941067,False,tx-lobbying-interests,True,24021,"800 W. MyrtleSan Antonio, TX 78212",VIA Metropolitan Transit
VISA U.S.A. Inc.,,2014-04-28T07:08:42.511574,2015-02-13T07:27:41.480050,False,tx-lobbying-interests,True,23983,"P.O. Box 8999San Francisco, CA 94128-8999","Visa U.S.A., Inc."
Visa U.S.A.   Inc.,,2014-04-28T07:08:44.999796,2015-02-13T07:27:35.072168,False,tx-lobbying-interests,True,24038,"1300 Connecticut Avenue NWSuite 900Washington, DC 20036","Visa U.S.A., Inc."
VINteck,,2014-04-28T07:08:42.470797,2015-02-13T07:27:09.185963,False,tx-lobbying-interests,True,23982,"1735 Marker Street, Ste 900Philadelphia, PA 19131",VINtek
Vivint Inc.,,2014-04-28T07:08:45.204097,2015-02-13T07:26:39.973107,False,tx-lobbying-interests,True,24042,"4931 North 300 WestProvo, UT 84604","Vivint, Inc."
Vocational Agriculture Teachers Association of Texas,,2014-04-24T04:14:19.124046,2015-02-13T07:26:27.653533,False,tx-lobbying-interests,True,15837,"614 E. 12th StreetAustin, TX 78701",Vocational Agriculture Teachers Association
Virtual Dome of Texas LLC,,2014-04-28T07:08:44.933581,2015-02-13T07:25:46.698289,False,tx-lobbying-interests,True,24036,"1122 ColoradoSuite 100Austin, TX 78701","Virtual Dome of Texas, LLC"
ViiV Healthcare Inc.,,2014-04-28T07:08:44.620916,2015-02-13T07:25:30.666468,False,tx-lobbying-interests,True,24030,"5 Moore DriveRTP, NC 27709",ViiV Healthcare
"ViiV Healthcare, Inc.",,2014-04-24T04:14:18.759514,2015-02-13T07:25:30.665375,False,tx-lobbying-interests,True,15822,"5 Moore DriveRTP, NC 27709",ViiV Healthcare
Vinson & Elkins L.L.P.,,2014-04-28T07:08:44.833174,2015-02-13T07:24:58.055794,False,tx-lobbying-interests,True,24034,"First City Tower1001 Fannin Suite 2500Houston, TX 77002-6760",Vinson & Elkins LLP
Cintra Developments LLC,,2014-04-28T07:06:30.226507,2015-02-13T07:24:24.373268,False,tx-lobbying-interests,True,21026,"7700 Chevy Chase DriveAustin, TX 78752-1562",Cintra Developments
Citizens Commission on Human Rights - Austin,,2014-04-24T04:13:06.683194,2015-02-13T07:24:06.120527,False,tx-lobbying-interests,True,12424,"403 E. Ben White Blvd.Austin, TX 78704",Citizens Commission on Human Rights
Cisco Systems Inc.,,2014-04-28T07:06:30.375352,2015-02-13T07:23:23.748897,False,tx-lobbying-interests,True,21029,"12515 Research Blvd. Building 2Austin, TX 78759","Cisco Systems, Inc."
CIRCUIT OF THE AMERICAS LLC,,2014-04-28T07:06:23.360308,2015-02-13T07:23:07.079312,False,tx-lobbying-interests,True,20867,"301 Congress AvenueSuite 220Austin, TX 78701","Circuit of the Americas, LLC"
Circuit of the Americas LLC,,2014-04-28T07:06:30.305341,2015-02-13T07:22:59.792964,False,tx-lobbying-interests,True,21027,"301 Congress Ave.Suite 220Austin, TX 78701","Circuit of the Americas, LLC"
Citgo,TX,2015-01-16T18:42:07.011158,2015-02-13T07:22:39.510834,False,tx-lobbying-interests,True,38996,"1293 Eldridge Pkwy Houston, TX 77077",CITGO Petroleum Corporation
"Citibank, N.A.",,2014-04-24T04:13:06.507901,2015-02-13T07:22:15.247966,False,tx-lobbying-interests,True,12416,"388 Greenwich Street, 22nd FloorNew York, NY 10013",Citibank
Citibank N.A.,,2014-04-28T07:06:30.442604,2015-02-13T07:22:01.225076,False,tx-lobbying-interests,True,21030,"388 Greenwich Street 22nd FloorNew York, NY 10013",Citibank
Cities Aggregation Power Project Inc (CAPP),,2014-04-28T07:06:30.493221,2015-02-13T07:21:44.813517,False,tx-lobbying-interests,True,21031,",",Cities Aggregation Power Project Inc.
Cities Aggregation Power Project Inc. (CAPP),,2014-04-28T07:06:30.550390,2015-02-13T07:21:36.458133,False,tx-lobbying-interests,True,21033,"816 Congress Avenue Suite 1900Austin, TX 78701",Cities Aggregation Power Project Inc.
Cities Aggregtion Power Project Inc. (CAPP),,2014-04-28T07:06:30.580388,2015-02-13T07:21:29.172269,False,tx-lobbying-interests,True,21034,"816 Congress Avenue Suite 1900Austin, TX 78701",Cities Aggregation Power Project Inc.
The Citizen Leader Alliance dba Texas Families First Coalition,,2014-04-24T04:14:12.558332,2015-02-13T07:20:15.283393,False,tx-lobbying-interests,True,15544,"PO Box 27133Houston, TX 77117",Citizen Leader Alliance
The Citizen Leader Alliance,,2014-04-28T07:08:32.949506,2015-02-13T07:20:15.282280,False,tx-lobbying-interests,True,23785,"3000 Essex LaneSuite 1200Houston, TX 77027",Citizen Leader Alliance
Citizen Leaderhsip Alliance,,2014-04-24T04:13:06.621957,2015-02-13T07:20:09.100533,False,tx-lobbying-interests,True,12421,"3900 Essex LaneSuite 500Houston, TX 77027",Citizen Leader Alliance
The Baptist General Convention of Texas - Christian Life Commission,,2014-04-28T07:08:32.774317,2015-02-13T07:16:56.486834,False,tx-lobbying-interests,True,23781,"814 San Jacinto Suite 400Austin, TX 78701",Christian Life Commission
The Baptist General Convention of Texas- Christian Life Commission,,2014-04-28T07:08:32.802146,2015-02-13T07:16:46.455786,False,tx-lobbying-interests,True,23782,"814 San Jacinto Suite 400Austin, TX 78701",Christian Life Commission
Texas Baptist Christian Life Commission,,2014-04-24T04:14:02.929487,2015-02-13T07:16:10.743723,False,tx-lobbying-interests,True,15112,"812 San Antonio StreetSuite 410Austin, TX 78701",Christian Life Commission
Christian Life Commission - Baptist General Convention of Texas,,2014-04-24T04:13:06.140858,2015-02-13T07:15:41.049242,False,tx-lobbying-interests,True,12398,"333 N. Washington Ave.Dallas, TX 75246-1798",Christian Life Commission
Christian Life Commission- Baptist General Convention of Texas,,2014-04-28T07:06:29.659236,2015-02-13T07:15:41.048120,False,tx-lobbying-interests,True,21011,"221 East 9th Street Suite 410Austin, TX 78701",Christian Life Commission
Children's Medical Center of Dallas,,2014-04-24T04:13:06.079533,2015-02-13T07:14:41.865326,False,tx-lobbying-interests,True,12395,"1935 Motor StreetDallas, TX 75235",Children's Medical Center
Children's Medical Center Dallas,,2014-04-24T04:13:06.059287,2015-02-13T07:14:35.147364,False,tx-lobbying-interests,True,12394,"1935 Medical District DriveDallas, TX 75235",Children's Medical Center
CHILDREN AT RISK,TX,2015-01-16T18:42:06.768926,2015-02-13T07:14:03.711493,False,tx-lobbying-interests,True,38989,"2900 Weslayan Suite 400 Houston, TX 77027",Children at Risk
